"scientific_name","social"
"Struthio camelus",0
"Struthio molybdophanes",1
"Rhea americana",1
"Rhea pennata",1
"Apteryx australis",0
"Apteryx mantelli",0
"Apteryx rowi",0
"Apteryx owenii",0
"Apteryx haastii",0
"Casuarius casuarius",0
"Casuarius bennetti",0
"Casuarius unappendiculatus",0
"Dromaius novaehollandiae",0
"Dromaius minor",0
"Tinamus tao",0
"Tinamus solitarius",0
"Tinamus osgoodi",0
"Tinamus major",0
"Tinamus guttatus",0
"Nothocercus bonapartei",0
"Nothocercus julius",0
"Nothocercus nigrocapillus",0
"Crypturellus berlepschi",0
"Crypturellus soui",0
"Crypturellus ptaritepui",0
"Crypturellus obsoletus",0
"Crypturellus transfasciatus",0
"Crypturellus erythropus",0
"Crypturellus noctivagus",0
"Crypturellus cinnamomeus",0
"Crypturellus boucardi",0
"Crypturellus kerriae",0
"Crypturellus variegatus",0
"Crypturellus parvirostris",0
"Crypturellus tataupa",0
"Nothoprocta ornata",0
"Nothoprocta perdicaria",0
"Nothoprocta cinerascens",0
"Nothoprocta pentlandii",0
"Nothoprocta curvirostris",0
"Nothura boraquira",1
"Nothura darwinii",0
"Nothura maculosa",0
"Taoniscus nanus",0
"Eudromia elegans",1
"Eudromia formosa",1
"Tinamotis pentlandii",1
"Tinamotis ingoufi",1
"Anhima cornuta",0
"Chauna chavaria",0
"Chauna torquata",1
"Anseranas semipalmata",0
"Dendrocygna viduata",1
"Dendrocygna autumnalis",1
"Dendrocygna arborea",1
"Dendrocygna bicolor",1
"Dendrocygna eytoni",0
"Dendrocygna arcuata",0
"Dendrocygna javanica",0
"Thalassornis leuconotus",0
"Cereopsis novaehollandiae",1
"Branta bernicla",0
"Branta ruficollis",0
"Branta sandvicensis",0
"Branta canadensis",0
"Branta leucopsis",0
"Branta hutchinsii",0
"Anser indicus",0
"Anser canagicus",1
"Anser rossii",0
"Anser caerulescens",1
"Anser anser",0
"Anser cygnoid",0
"Anser fabalis",0
"Anser brachyrhynchus",0
"Anser albifrons",0
"Anser erythropus",0
"Coscoroba coscoroba",1
"Cygnus atratus",0
"Cygnus melancoryphus",1
"Cygnus olor",0
"Cygnus buccinator",1
"Cygnus columbianus",0
"Cygnus cygnus",1
"Hymenolaimus malacorhynchos",0
"Tachyeres patachonicus",0
"Tachyeres pteneres",0
"Tachyeres brachypterus",0
"Tachyeres leucocephalus",1
"Merganetta armata",0
"Plectropterus gambensis",0
"Sarkidiornis sylvicola",1
"Sarkidiornis melanotos",0
"Cyanochen cyanoptera",0
"Alopochen aegyptiaca",0
"Neochen jubata",0
"Chloephaga melanoptera",1
"Chloephaga picta",1
"Chloephaga hybrida",1
"Chloephaga poliocephala",1
"Chloephaga rubidiceps",1
"Radjah radjah",0
"Tadorna tadorna",0
"Tadorna ferruginea",1
"Tadorna cana",1
"Tadorna tadornoides",0
"Tadorna variegata",0
"Tadorna cristata",0
"Malacorhynchus membranaceus",0
"Salvadorina waigiuensis",0
"Cairina moschata",0
"Asarcornis scutulata",0
"Pteronetta hartlaubii",0
"Aix sponsa",0
"Aix galericulata",0
"Chenonetta jubata",0
"Nettapus coromandelianus",1
"Nettapus pulchellus",0
"Amazonetta brasiliensis",1
"Callonetta leucophrys",0
"Lophonetta specularioides",0
"Speculanas specularis",1
"Sibirionetta formosa",1
"Spatula querquedula",0
"Spatula hottentota",1
"Spatula puna",1
"Spatula versicolor",0
"Spatula platalea",1
"Spatula cyanoptera",1
"Spatula discors",1
"Spatula smithii",1
"Spatula rhynchotis",0
"Spatula clypeata",0
"Mareca strepera",0
"Mareca falcata",0
"Mareca penelope",0
"Mareca sibilatrix",0
