Species,GarciaPenaMLog,GarciaPenaFLog,GarciaPenaAveLog,IwaniukArnoldLog,IwaniukNelsonLog,IwaniukDeanNelsonLog,SayolLog,CorfieldLog
Abroscopus_albogularis,NA,NA,NA,NA,-1.139434283,NA,-1.079,NA
Acanthagenys_rufogularis,NA,NA,NA,0.148420005,0.148420005,NA,0.144,NA
Acanthiza_chrysorrhoa,NA,NA,NA,-0.84397007,-0.84397007,NA,-0.777,NA
Acanthiza_ewingii,NA,NA,NA,NA,NA,NA,-0.462,NA
Acanthiza_inornata,NA,NA,NA,NA,NA,NA,-0.821,NA
Acanthiza_lineata,NA,NA,NA,-0.673344553,-0.673344553,NA,-0.664,NA
Acanthiza_nana,NA,NA,NA,NA,NA,NA,-0.994,NA
Acanthiza_pusilla,NA,NA,NA,-0.798507696,-0.798507696,NA,-0.817,NA
Acanthiza_reguloides,NA,NA,NA,-0.94160854,-0.94160854,NA,-0.904,NA
Acanthiza_uropygialis,NA,NA,NA,-1.021651248,-1.021651248,NA,-0.994,NA
Acanthorhynchus_tenuirostris,NA,NA,NA,-0.733969175,-0.733969175,NA,-0.4,NA
Accipiter_cirrocephalus,NA,NA,NA,NA,0.871293366,NA,0.854,NA
Accipiter_cooperii,NA,NA,NA,NA,1.547562509,NA,1.474,NA
Accipiter_fasciatus,NA,NA,NA,NA,1.504077397,NA,1.537,NA
Accipiter_gentilis,NA,NA,NA,NA,2.064327904,NA,2.065,NA
Accipiter_haplochrous,NA,NA,NA,NA,1.363537374,NA,1.374,NA
Accipiter_novaehollandiae,NA,NA,NA,NA,1.556037136,NA,1.567,NA
Accipiter_striatus,NA,NA,NA,NA,0.802001585,NA,0.792,NA
Acridotheres_tristis,NA,NA,NA,NA,0.90825856,NA,0.906,NA
Acrocephalus_arundinaceus,NA,NA,NA,NA,-0.094310679,NA,-0.122,NA
Acrocephalus_schoenobaenus,NA,NA,NA,NA,-0.798507696,NA,-0.829,NA
Actitis_hypoleucos,NA,NA,NA,NA,NA,NA,-0.139,NA
Actitis_macularius,NA,NA,NA,NA,NA,NA,-0.387,NA
Actophilornis_africanus,0.392042088,0.470003629,0.431022859,NA,NA,NA,NA,NA
Aechmophorus_occidentalis,NA,NA,NA,NA,1.311031877,NA,1.308,NA
Aegithina_tiphia,NA,NA,NA,NA,-0.400477567,NA,-0.421,NA
Aegolius_acadicus,NA,NA,NA,NA,1.211940974,NA,1.211,NA
Aegolius_funereus,NA,NA,NA,NA,1.391281903,NA,1.39,NA
Aegotheles_cristatus,NA,NA,NA,NA,0.350656872,NA,0.359,NA
Aeronautes_saxatalis,NA,NA,NA,NA,NA,NA,-0.375,NA
Aethia_cristatella,0.928219303,0.88376754,0.905993422,NA,NA,NA,NA,NA
Aethia_pusilla,0.405465108,0.371563556,0.388514332,NA,0.392042088,NA,NA,NA
Aethia_pygmaea,0.530628251,0.548121409,0.53937483,NA,NA,NA,NA,NA
Aethopyga_nipalensis,NA,NA,NA,NA,-1.108662625,NA,-1.101,NA
Agapornis_canus,NA,NA,NA,NA,NA,0.139761942,NA,NA
