"scinam","sexdic"
"Agapornis canus",23.0966707480125
"Agapornis fischeri",0.591979626954693
"Agapornis lilianae",0.531957399757222
"Agapornis nigrigenis",0.563053770495171
"Agapornis personatus",0.64403850349816
"Agapornis pullarius",6.20973988818954
"Agapornis roseicollis",0.76000615479498
"Agapornis swindernianus",0.591772537530769
"Agapornis taranta",9.34522227190035
"Alipiopsitta xanthops",0.365238684670087
"Alisterus amboinensis",0.37688848204778
"Alisterus chloropterus",39.3188894206664
"Alisterus scapularis",33.2510060925635
"Amazona aestiva",0.47439800993928
"Amazona agilis",0.313333601298399
"Amazona albifrons",8.54213486451876
"Amazona amazonica",0.666190835397547
"Amazona arausiaca",0.833949850912858
"Amazona auropalliata",0.349582240449888
"Amazona autumnalis",0.438191114617879
"Amazona barbadensis",0.419568152694847
"Amazona bodini",0.410680619921176
"Amazona brasiliensis",0.603017475963845
"Amazona collaria",0.373000754461521
"Amazona diadema",0.451231588666262
"Amazona dufresniana",0.348568877650954
"Amazona farinosa",0.598072394096337
"Amazona festiva",0.380279621154167
"Amazona finschi",0.437281473420199
"Amazona guatemalae",0.552482943544457
"Amazona guildingii",0.945598906091106
"Amazona imperialis",0.691909127784064
"Amazona kawalli",0.452804114584422
"Amazona leucocephala",0.550987267720267
"Amazona lilacina",0.558317131560964
"Amazona mercenarius",0.374021566012324
"Amazona ochrocephala",0.328499987772166
"Amazona oratrix",0.511844264225277
"Amazona pretrei",0.562893120101852
"Amazona rhodocorytha",0.675711061688803
"Amazona tucumana",0.701729660248526
"Amazona ventralis",0.412036921790845
"Amazona versicolor",0.673073385246145
"Amazona vinacea",0.906212495466724
"Amazona viridigenalis",3.59389101216279
"Amazona vittata",0.774075203597891
"Amazona xantholora",13.1144299003258
"Anodorhynchus glaucus",0.327194346351197
"Anodorhynchus hyacinthinus",0.0207777189266065
"Anodorhynchus leari",0.206303499445875
"Aprosmictus erythropterus",10.0471727793674
"Aprosmictus jonquillaceus",9.55109508511371
"Ara ambiguus",0.405757106604417
"Ara ararauna",0.290512758025864
"Ara chloroptera",0.357460448289566
"Ara glaucogularis",0.317722764712352
"Ara macao",0.455392606147932
"Ara militaris",0.394314299707795
"Ara rubrogenys",0.433350374370107
"Ara severus",0.650117322393809
"Aratinga auricapillus",0.612335129202315
"Aratinga jandaya",0.184245761503612
"Aratinga maculata",0.960675943663664
"Aratinga nenday",0.790598904823224
"Aratinga solstitialis",0.320578826172673
"Aratinga weddellii",0.707517732555316
"Barnardius zonarius",10.4115770028278
"Bolbopsittacus lunulatus",9.84548758119701
"Bolborhynchus ferrugineifrons",0.292308601794783
"Bolborhynchus lineola",0.986920112818271
"Bolborhynchus orbygnesius",0.590592818155866
"Brotogeris chiriri",0.446508192719593
"Brotogeris chrysoptera",0.406346266078309
"Brotogeris cyanoptera",0.709396659203091
"Brotogeris jugularis",0.482272494313353
"Brotogeris pyrrhoptera",0.535620951269805
"Brotogeris sanctithomae",0.423545094666834
"Brotogeris tirica",0.401716440328813
"Brotogeris versicolurus",0.220257203769793
"Cacatua alba",0.886764157480122
"Cacatua ducorpsii",0.335320692897951
"Cacatua galerita",0.0824397259961289
"Cacatua goffiniana",0.121733976879281
"Cacatua haematuropygia",0.362591696349019
"Cacatua leadbeateri",2.58418431997444
"Cacatua moluccensis",0.343668206069255
"Cacatua ophthalmica",2.06715007622646
"Cacatua pastinator",0.129220906370402
"Cacatua sanguinea",0.342112015429863
"Cacatua sulphurea",0.344031171160095
"Cacatua tenuirostris",0.252428229160004
"Callocephalon fimbriatum",17.0017804169799
"Calyptorhynchus banksii",9.10689490952099
"Calyptorhynchus funereus",1.33150739147738
"Calyptorhynchus lathami",12.1726958790722
"Chalcopsitta atra",0.351022154714361
"Chalcopsitta cardinalis",0.263720577636038
"Chalcopsitta duivenbodei",0.68349667278301
"Chalcopsitta scintillata",0.481725164129958
"Charmosyna amabilis",0.213272005889226
"Charmosyna diadema",0.262764963855243
"Charmosyna josefinae",5.61935434671452
"Charmosyna margarethae",6.05949058210103
"Charmosyna meeki",0.387729299860706
"Charmosyna multistriata",0.559834372503666
"Charmosyna palmarum",5.89279482475683
"Charmosyna papou",0.107263008239096
"Charmosyna placentis",11.5555953439698
"Charmosyna pulchella",6.20994136054654
"Charmosyna rubrigularis",0.634166687869637
"Charmosyna rubronotata",12.4219529000068
"Charmosyna stellae",4.02348784305724
"Charmosyna toxopei",0.506196629573581
"Charmosyna wilhelminae",5.67567603163358
"Coracopsis barklyi",0.411943814601336
"Coracopsis nigra",0.461514821837564
"Coracopsis sibilans",0.534410978818296
"Coracopsis vasa",0.419164089061296
"Cyanoliseus patagonus",0.393749090777527
"Cyanopsitta spixii",0.266582012723655
"Cyanoramphus auriceps",0.45757782654098
"Cyanoramphus forbesi",0.225013113009607
"Cyanoramphus malherbi",0.613154476089289
"Cyanoramphus novaezelandiae",0.41896113185155
"Cyanoramphus unicolor",0.309344190415764
"Cyclopsitta amabilis",12.1884591314869
"Cyclopsitta coxeni",0.569958885808581
"Cyclopsitta diophthalma",5.1931280038318
"Cyclopsitta gulielmitertii",19.5199410103268
"Cyclopsitta melanogenia",12.944709211597
"Cyclopsitta nigrifrons",8.59977790599793
"Deroptyus accipitrinus",0.809408742057964
"Diopsittaca cumanensis",0.449178134784544
"Diopsittaca nobilis",0.647365168990544
"Eclectus roratus",45.2045612597521
"Enicognathus ferrugineus",0.517604284997804
"Enicognathus leptorhynchus",0.713277617106346
"Eolophus roseicapilla",1.62775641306647
"Eos bornea",0.556172456722356
