"scientific_name","sexual_size_dimorphism"
"Agapornis canus",0.053956304810225
"Agapornis fischeri",0.0290528552311653
"Agapornis lilianae",0.0370653336549123
"Agapornis nigrigenis",0.0109889165743278
"Agapornis personatus",0.0765950732238108
"Agapornis pullarius",0.017385439540885
"Agapornis roseicollis",0.0988461264782903
"Agapornis swindernianus",0.131357004068485
"Agapornis taranta",0.00232466632024075
"Alipiopsitta xanthops",0.174576094093653
"Alisterus amboinensis",0.765858415257262
"Alisterus chloropterus",0.068295324233758
"Alisterus scapularis",0.0465149252839441
"Amazona aestiva",0.21563912081716
"Amazona agilis",0.23961821565756
"Amazona albifrons",0.0374280606338654
"Amazona amazonica",0.210004011344698
"Amazona arausiaca",0.0425440808520781
"Amazona auropalliata",0.303930519526923
"Amazona autumnalis",0.0770427919172689
"Amazona barbadensis",0.180063931230069
"Amazona bodini",NA
"Amazona brasiliensis",0.274403573237333
"Amazona collaria",0.0910302975795049
"Amazona diadema",0.0780164102927969
"Amazona dufresniana",0.311158396781043
"Amazona farinosa",0.358829016897563
"Amazona festiva",0.0321760369677795
"Amazona finschi",0.0792339565305847
"Amazona guatemalae",0.0404295703833759
"Amazona guildingii",0.0887220451768036
"Amazona imperialis",0.0209507140595031
"Amazona kawalli",NA
"Amazona leucocephala",0.242428526332851
"Amazona lilacina",0.140827549140227
"Amazona mercenarius",0.00256527671718576
"Amazona ochrocephala",0.0343898646038576
"Amazona oratrix",0.169867301020409
"Amazona pretrei",0.0472422177701046
"Amazona rhodocorytha",0.142013231389668
"Amazona tucumana",0.0846133198767183
"Amazona ventralis",0.0279976761659243
"Amazona versicolor",0.30920380657731
"Amazona vinacea",0.00728070877124032
"Amazona viridigenalis",0.18841949721252
"Amazona vittata",0.0663586409393759
"Amazona xantholora",0.110355585194905
"Anodorhynchus glaucus",0.287184433328194
"Anodorhynchus hyacinthinus",0.0229618747170592
"Anodorhynchus leari",0.0591647754320226
"Aprosmictus erythropterus",0.0409392101395673
"Aprosmictus jonquillaceus",0.316800423814496
"Ara ambiguus",0.144001459157733
"Ara ararauna",0.12911015030765
"Ara chloroptera",0.253713046356936
"Ara glaucogularis",0.27968537991391
"Ara macao",0.019630721175754
"Ara militaris",0.486374768805143
"Ara rubrogenys",0.242979905715035
"Ara severus",0.251388397792159
"Aratinga auricapillus",0.188230900420565
"Aratinga jandaya",0.0670174918383714
"Aratinga maculata",NA
"Aratinga nenday",0.0120339988513948
"Aratinga solstitialis",0.0502962138055707
"Aratinga weddellii",0.0416192939142416
"Barnardius zonarius",0.360033123491854
"Bolbopsittacus lunulatus",0.0199462141177869
"Bolborhynchus ferrugineifrons",0.0665158295674424
"Bolborhynchus lineola",0.0171503905304873
"Bolborhynchus orbygnesius",0.00408337973042516
"Brotogeris chiriri",0.0238922865070772
