"scientific_name","order","family","genus","species","colonial","social","pairs_and_family_groups","singly_and_pairs","solitary"
"Struthio camelus","Struthioniformes","Struthionidae","Struthio","camelus",0,0,1,1,0
"Struthio molybdophanes","Struthioniformes","Struthionidae","Struthio","molybdophanes",0,1,0,0,0
"Rhea americana","Rheiformes","Rheidae","Rhea","americana",0,1,1,1,0
"Rhea pennata","Rheiformes","Rheidae","Rhea","pennata",0,1,1,1,0
"Apteryx australis","Apterygiformes","Apterygidae","Apteryx","australis",0,0,0,1,1
"Apteryx mantelli","Apterygiformes","Apterygidae","Apteryx","mantelli",0,0,0,0,1
"Apteryx rowi","Apterygiformes","Apterygidae","Apteryx","rowi",0,0,0,1,0
"Apteryx owenii","Apterygiformes","Apterygidae","Apteryx","owenii",0,0,0,1,1
"Apteryx maxima","Apterygiformes","Apterygidae","Apteryx","haastii",0,0,0,1,0
"Casuarius casuarius","Casuariiformes","Casuariidae","Casuarius","casuarius",0,0,1,1,1
"Casuarius bennetti","Casuariiformes","Casuariidae","Casuarius","bennetti",0,0,1,1,1
"Casuarius unappendiculatus","Casuariiformes","Casuariidae","Casuarius","unappendiculatus",0,0,1,1,1
"Dromaius novaehollandiae","Casuariiformes","Casuariidae","Dromaius","novaehollandiae",0,0,0,1,0
NA,"Casuariiformes",NA,"Dromaius","minor",0,0,0,1,0
NA,"Casuariiformes",NA,"Dromaius","baudinianus",NA,NA,NA,NA,NA
"Tinamus tao","Tinamiformes","Tinamidae","Tinamus","tao",0,0,0,0,1
"Tinamus solitarius","Tinamiformes","Tinamidae","Tinamus","solitarius",0,0,0,0,1
"Tinamus osgoodi","Tinamiformes","Tinamidae","Tinamus","osgoodi",0,0,0,1,1
"Tinamus major","Tinamiformes","Tinamidae","Tinamus","major",0,0,0,0,1
"Tinamus guttatus","Tinamiformes","Tinamidae","Tinamus","guttatus",0,0,0,1,1
"Nothocercus bonapartei","Tinamiformes","Tinamidae","Nothocercus","bonapartei",0,0,0,1,1
"Nothocercus julius","Tinamiformes","Tinamidae","Nothocercus","julius",0,0,1,1,1
"Nothocercus nigrocapillus","Tinamiformes","Tinamidae","Nothocercus","nigrocapillus",0,0,0,1,1
"Crypturellus berlepschi","Tinamiformes","Tinamidae","Crypturellus","berlepschi",0,0,0,0,1
"Crypturellus cinereus","Tinamiformes","Tinamidae","Crypturellus","cinereus",NA,NA,NA,NA,NA
"Crypturellus soui","Tinamiformes","Tinamidae","Crypturellus","soui",0,0,1,0,1
"Crypturellus ptaritepui","Tinamiformes","Tinamidae","Crypturellus","ptaritepui",0,0,0,0,1
"Crypturellus obsoletus","Tinamiformes","Tinamidae","Crypturellus","obsoletus",0,0,0,1,0
"Crypturellus undulatus","Tinamiformes","Tinamidae","Crypturellus","undulatus",NA,NA,NA,NA,NA
