Scientific Name,English Common Name
Agapornis canus,Grey-headed Lovebird
Agapornis fischeri,Fischer's Lovebird
Agapornis lilianae,Lilian's Lovebird
Agapornis nigrigenis,Black-cheeked Lovebird
Agapornis personatus,Yellow-collared Lovebird
Agapornis pullarius,Red-headed Lovebird
Agapornis roseicollis,Rosy-faced Lovebird
Agapornis swindernianus,Black-collared Lovebird
Agapornis taranta,Black-winged Lovebird
Alipiopsitta xanthops,Yellow-faced Parrot
Alisterus amboinensis,Moluccan King Parrot
Alisterus chloropterus,Papuan King Parrot
Alisterus scapularis,Australian King Parrot
Amazona aestiva,Turquoise-fronted Amazon
Amazona agilis,Black-billed Amazon
Amazona albifrons,White-fronted Amazon
Amazona amazonica,Orange-winged Amazon
Amazona arausiaca,Red-necked Amazon
Amazona auropalliata,Yellow-naped Amazon
Amazona autumnalis,Red-lored Amazon
Amazona barbadensis,Yellow-shouldered Amazon
Amazona brasiliensis,Red-tailed Amazon
Amazona collaria,Yellow-billed Amazon
Amazona diadema,Diademed Amazon
Amazona dufresniana,Blue-cheeked Amazon
Amazona farinosa,Mealy Amazon
Amazona festiva,Festive Amazon
Amazona finschi,Lilac-crowned Amazon
Amazona guildingii,St. Vincent Amazon
Amazona imperialis,Imperial Amazon
Amazona kawalli,Kawall's Amazon
Amazona leucocephala,Cuban Amazon
Amazona mercenarius,Scaly-naped Amazon
Amazona ochrocephala,Yellow-crowned Amazon
Amazona oratrix,Yellow-headed Amazon
Amazona pretrei,Red-spectacled Amazon
Amazona rhodocorytha,Red-browed Amazon
Amazona tucumana,Tucuman Amazon
Amazona ventralis,Hispaniolan Amazon
Amazona versicolor,St. Lucia Amazon
Amazona vinacea,Vinaceous-breasted Amazon
Amazona viridigenalis,Red-crowned Amazon
Amazona vittata,Puerto Rican Amazon
Amazona xantholora,Yucatan Amazon
Anodorhynchus glaucus,Glaucous Macaw
Anodorhynchus hyacinthinus,Hyacinth Macaw
Anodorhynchus leari,Lear's Macaw
Aprosmictus erythropterus,Red-winged Parrot
Aprosmictus jonquillaceus,Jonquil Parrot
Ara ambiguus,Great Green Macaw
Ara ararauna,Blue-and-yellow Macaw
Ara chloropterus,Red-and-green Macaw
Ara glaucogularis,Blue-throated Macaw
Ara macao,Scarlet Macaw
Ara militaris,Military Macaw
Ara rubrogenys,Red-fronted Macaw
Ara severus,Chestnut-fronted Macaw
Ara tricolor,Cuban Macaw
Aratinga auricapillus,Golden-capped Parakeet
Aratinga jandaya,Jandaya Parakeet
Aratinga maculata,Sulphur-breasted Parakeet
Aratinga nenday,Nanday Parakeet
Aratinga solstitialis,Sun Parakeet
Aratinga weddellii,Dusky-headed Parakeet
Barnardius zonarius,Australian Ringneck
Bolbopsittacus lunulatus,Guaiabero
Bolborhynchus ferrugineifrons,Rufous-fronted Parakeet
Bolborhynchus lineola,Barred Parakeet
Bolborhynchus orbygnesius,Andean Parakeet
Brotogeris chiriri,Yellow-chevroned Parakeet
Brotogeris chrysoptera,Golden-winged Parakeet
Brotogeris cyanoptera,Cobalt-winged Parakeet
Brotogeris jugularis,Orange-chinned Parakeet
Brotogeris pyrrhoptera,Grey-cheeked Parakeet
Brotogeris sanctithomae,Tui Parakeet
Brotogeris tirica,Plain Parakeet
Brotogeris versicolurus,White-winged Parakeet
Cacatua alba,White Cockatoo
Cacatua citrinocristata,Citron-crested Cockatoo
Cacatua ducorpsii,Solomons Corella
Cacatua galerita,Sulphur-crested Cockatoo
Cacatua goffiniana,Tanimbar Corella
Cacatua haematuropygia,Red-vented Cockatoo
Cacatua leadbeateri,Pink Cockatoo
Cacatua moluccensis,Salmon-crested Cockatoo
Cacatua ophthalmica,Blue-eyed Cockatoo
Cacatua pastinator,Western Corella
Cacatua sanguinea,Little Corella
Cacatua sulphurea,Yellow-crested Cockatoo
Cacatua tenuirostris,Long-billed Corella
Callocephalon fimbriatum,Gang-gang Cockatoo
Calyptorhynchus banksii,Red-tailed Black Cockatoo
Calyptorhynchus lathami,Glossy Black Cockatoo
Chalcopsitta atra,Black Lory
Chalcopsitta duivenbodei,Brown Lory
Chalcopsitta scintillata,Yellow-streaked Lory
Charminetta wilhelminae,Pygmy Lorikeet
Charmosyna josefinae,Josephine's Lorikeet
Charmosyna papou,West Papuan Lorikeet
Charmosyna stellae,Stella's Lorikeet
Charmosynoides margarethae,Duchess Lorikeet
Charmosynopsis pulchella,Fairy Lorikeet
Charmosynopsis toxopei,Blue-fronted Lorikeet
Conuropsis carolinensis,Carolina Parakeet
Coracopsis barklyi,Seychelles Black Parrot
Coracopsis nigra,Lesser Vasa Parrot
Coracopsis sibilans,Comoro Black Parrot
Coracopsis vasa,Greater Vasa Parrot
Cyanoliseus patagonus,Burrowing Parrot
Cyanopsitta spixii,Spix's Macaw
Cyanoramphus auriceps,Yellow-crowned Parakeet
Cyanoramphus cookii,Norfolk Parakeet
Cyanoramphus forbesi,Chatham Islands Parakeet
Cyanoramphus hochstetteri,Reischek's Parakeet
Cyanoramphus malherbi,Malherbe's Parakeet
Cyanoramphus novaezelandiae,Red-crowned Parakeet
Cyanoramphus saisseti,New Caledonian Parakeet
Cyanoramphus subflavescens,Lord Howe Parakeet
Cyanoramphus ulietanus,Raiatea Parakeet
Cyanoramphus unicolor,Antipodes Parakeet
Cyanoramphus zealandicus,Black-fronted Parakeet
Cyclopsitta diophthalma,Double-eyed Fig Parrot
Cyclopsitta gulielmitertii,Blue-fronted Fig Parrot
Cyclopsitta melanogenia,Dusky-cheeked Fig Parrot
Cyclopsitta nigrifrons,Black-fronted Fig Parrot
Deroptyus accipitrinus,Red-fan Parrot
Diopsittaca nobilis,Red-shouldered Macaw
Eclectus cornelia,Sumba Eclectus
Eclectus infectus,Oceanic Eclectus
Eclectus polychloros,Papuan Eclectus
Eclectus riedeli,Tanimbar Eclectus
Eclectus roratus,Moluccan Eclectus
Enicognathus ferrugineus,Austral Parakeet
Enicognathus leptorhynchus,Slender-billed Parakeet
Eolophus roseicapilla,Galah
Eos bornea,Red Lory
Eos cyanogenia,Black-winged Lory
Eos histrio,Red-and-blue Lory
Eos reticulata,Blue-streaked Lory
Eos semilarvata,Blue-eared Lory
Eos squamata,Violet-necked Lory
Eunymphicus cornutus,Horned Parakeet
Eunymphicus uvaeensis,Ouvea Parakeet
Eupsittula aurea,Peach-fronted Parakeet
Eupsittula cactorum,Caatinga Parakeet
Eupsittula canicularis,Orange-fronted Parakeet
Eupsittula nana,Olive-throated Parakeet
Eupsittula pertinax,Brown-throated Parakeet
Forpus coelestis,Pacific Parrotlet
Forpus conspicillatus,Spectacled Parrotlet
Forpus crassirostris,Riparian Parrotlet
Forpus cyanopygius,Mexican Parrotlet
Forpus modestus,Dusky-billed Parrotlet
Forpus passerinus,Green-rumped Parrotlet
Forpus spengeli,Turquoise-winged Parrotlet
Forpus xanthops,Yellow-faced Parrotlet
Forpus xanthopterygius,Cobalt-rumped Parrotlet
Geoffroyus geoffroyi,Red-cheeked Parrot
Geoffroyus heteroclitus,Song Parrot
Geoffroyus simplex,Blue-collared Parrot
Glossopsitta concinna,Musk Lorikeet
Glossoptilus goldiei,Goldie's Lorikeet
Graydidascalus brachyurus,Short-tailed Parrot
Guaruba guarouba,Golden Parakeet
Hapalopsittaca amazonina,Rusty-faced Parrot
Hapalopsittaca fuertesi,Fuertes's Parrot
Hapalopsittaca melanotis,Black-winged Parrot
Hapalopsittaca pyrrhops,Red-faced Parrot
Hypocharmosyna placentis,Red-flanked Lorikeet
Hypocharmosyna rubronotata,Red-fronted Lorikeet
Lathamus discolor,Swift Parrot
Leptosittaca branickii,Golden-plumed Parakeet
Lophopsittacus mauritianus,Broad-billed Parrot
Loriculus amabilis,Moluccan Hanging Parrot
Loriculus aurantiifrons,Orange-fronted Hanging Parrot
Loriculus beryllinus,Sri Lanka Hanging Parrot
Loriculus bonapartei,Black-billed Hanging Parrot
Loriculus camiguinensis,Camiguin Hanging Parrot
Loriculus catamene,Sangihe Hanging Parrot
Loriculus exilis,Pygmy Hanging Parrot
Loriculus flosculus,Wallace's Hanging Parrot
Loriculus galgulus,Blue-crowned Hanging Parrot
Loriculus philippensis,Philippine Hanging Parrot
Loriculus pusillus,Yellow-throated Hanging Parrot
Loriculus sclateri,Sula Hanging Parrot
Loriculus stigmatus,Great Hanging Parrot
Loriculus tener,Bismarck Hanging Parrot
Loriculus vernalis,Vernal Hanging Parrot
